ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
0DEB351032566848818E832,496566,21:40.3,,36,Chargedoff,2013/9/15 0:00,0.35643,0.3199,0.3099,2,5,7,FL,Fireman,Employed,213,TRUE,FALSE,680,699,1990/2/1 0:00,4,5,53,3,52,1,3,6,5256,5,1,0,892,0.19,2006,50,0.7,1,0.21,"$50,000-74,999",TRUE,5314.25,,,,,,,,,298,30,36,2500,2011/3/16 0:00,Q1 2011,897435091439358025BC0F7,108.87,2721.75,1468.11,1253.64,-39.2,0,1031.89,1031.89,0,1,0,0,0,50
10F83416199324455232962,292860,04:51.6,HR,36,Chargedoff,2009/2/22 0:00,0.29743,0.2745,0.2645,,,1,CA,Administrative Assistant,Full-time,47,FALSE,FALSE,520,539,1992/2/1 0:00,3,4,13,2,72,7,18,1,30,5,0,0,1051,1.31,0,10,0.6,1,0.17,"$25,000-49,999",TRUE,2946.666667,2,13,13,0,0,5550,2331.4,-80,1966,11,72,2551,2008/3/21 0:00,Q1 2008,616633767931160574A5A44,104.76,613.56,257.91,355.65,-12.96,0,2293.09,2293.09,0,1,0,0,0,67
349134175738976507325F1,308345,33:07.7,B,36,Chargedoff,2008/11/23 0:00,0.15882,0.1445,0.1345,,,7,AZ,Analyst,Full-time,20,TRUE,FALSE,700,719,1997/10/23 0:00,7,6,13,4,35,2,24,1,250,12,1,0,1472,0.29,3578,10,0.63,1,0.11,"$50,000-74,999",TRUE,4750,,,,,,,,,2057,7,71,2500,2008/4/22 0:00,Q2 2008,F7603417067118640C55364,85.99,171.98,112.3,59.68,-4.13,0,2387.7,2387.7,0,1,0,0,0,85
30423527854712576FEBDB0,532077,39:41.2,,36,Chargedoff,2012/5/18 0:00,0.35132,0.3149,0.3049,2,4,1,PA,Professional,Employed,59,FALSE,FALSE,720,739,2004/2/18 0:00,9,7,27,5,75,4,19,1,512,1,0,0,273,0.12,1997,9,1,2,0.18,"$25,000-49,999",TRUE,2666.666667,,,,,,,,,783,8,29,6000,2011/10/17 0:00,Q4 2011,4B243528942605608B59D8B,259.63,519.26,206.06,313.2,-9.95,0,5793.94,5793.94,0,1,0,0,0,2
08E134244479824305E38AA,361026,32:23.2,B,36,Chargedoff,2010/12/10 0:00,0.15377,0.1395,0.1295,,,2,NY,Executive,Self-employed,158,TRUE,FALSE,680,699,1990/5/1 0:00,8,4,18,2,9,1,7,1,95,44,0,0,0,0,3500,15,0.5,2,,"$25,000-49,999",FALSE,3333.333333,,,,,,,,,1308,29,68,4000,2008/7/10 0:00,Q3 2008,B1AF342448424074767415B,136.61,3203.64,2391.95,811.69,-58.18,-17,1608.01,1608.05,85,1,0,0,0,92
00F73576880451894AC2493,758046,01:29.3,,60,Chargedoff,2013/10/23 0:00,0.32393,0.2969,0.2869,2,3,15,FL,Professional,Full-time,98,FALSE,FALSE,620,639,1997/3/29 0:00,6,6,39,5,212,0,4,11,18536,21,0,0,3511,1.03,30,32,0.66,0,0.11,"$50,000-74,999",TRUE,4166.666667,3,50,50,0,0,7500,3884.78,-49,260,6,11,4000,2013/4/23 0:00,Q2 2013,BA383403617813543E0D72E,128.65,128.65,122.14,6.51,-0.22,0,3877.86,3877.86,0,1,0,0,0,58
01243393178178057DBC812,162461,49:12.6,E,36,Chargedoff,2009/1/11 0:00,0.28545,0.27,0.26,,,0,,Other,Full-time,169,FALSE,FALSE,560,579,1988/9/30 0:00,5,3,57,4,113,4,11,9,1103,0,1,1,2791,0.94,220,46,0.85,1,0.16,"$75,000-99,999",TRUE,6500,,,,,,,,,2007,18,80,3000,2007/7/10 0:00,Q3 2007,9FC33370188007242E94D03,122.48,1592.24,815.64,776.6,-28.77,0,2184.36,2184.36,0,1,0,0,0,27
010E3535902893498204A4A,551688,20:22.2,,36,Chargedoff,2013/8/24 0:00,0.34577,0.3058,0.2958,2,6,1,TX,Attorney,Employed,3,FALSE,FALSE,640,659,1997/8/25 0:00,18,13,62,3,157,1,3,2,4508,10,0,0,4450,0.78,1223,27,0.66,0,0.19,"$75,000-99,999",TRUE,6250,,,,,,,,,320,19,26,4000,2012/1/24 0:00,Q1 2012,37223536283597850F36949,171.08,2350.12,1061,1289.12,-42.16,0,2939,2939,0,1,0,0,0,2
010A3421255456297C4F689,340424,18:20.0,D,36,Chargedoff,2009/3/7 0:00,0.2325,0.21,0.2,,,1,OR,Administrative Assistant,Full-time,55,FALSE,FALSE,600,619,1993/8/5 0:00,4,3,30,2,275,3,14,3,3787,21,0,0,2056,1.34,0,23,0.47,0,0.23,"$25,000-49,999",TRUE,2666.666667,,,,,,,,,1951,10,69,1000,2008/6/5 0:00,Q2 2008,66D134161965374589373A5,37.68,120.72,55.98,64.74,-3.84,0,944.02,944.02,0,1,1,0,0,37
089C348555489823736377D,460749,37:25.0,,36,Chargedoff,2013/1/11 0:00,0.24807,0.21,0.2,1,5,7,OK,Sales - Commission,Full-time,26,FALSE,FALSE,600,619,2000/9/25 0:00,6,5,11,2,175,1,8,1,931,0,2,0,2866,0,0,6,0.71,1,0.32,"$25,000-49,999",TRUE,2500,1,23,23,0,0,1000,382.96,21,545,31,45,1000,2010/6/11 0:00,Q2 2010,7A14340779198322168C4AC,37.68,942,616.92,325.08,-15.46,0,383.08,383.08,0,1,0,0,0,31
